 time	name	instr.	   type
   10	 P1	   instr1	   SILVER
  100	 P1	  instr19	   SILVER
  150	 P1	  instr15	   SILVER
  240	 P1	  instr18	   SILVER
  300	 P1	   instr3	   SILVER
  370	 P1	   instr2	     GOLD
  450	 P1	  instr20	     GOLD
  500	 P2	  instr18	     GOLD
  560	 P2	   instr2	     GOLD
  650	 P1	  instr15	     GOLD
  740	 P1	  instr18	     GOLD
  810	 P2	   instr5	     GOLD
  860	 P2	   instr6	     GOLD
  900	 P2	   instr5	     GOLD
  960	 P1	   instr3	     GOLD
 1030	 P1	   instr2	     GOLD
 1120	 P2	   instr6	     GOLD
 1160	 P2	   instr5	     GOLD
 1210	 P2	   instr6	     GOLD
 1260	 P1	     exit	     GOLD
 1280	 P2	     exit	     GOLD
 1300	 P3	   instr8	   SILVER
 1320	 P3	   instr7	   SILVER
 1350	 P3	  instr12	   SILVER
 1420	 P4	   instr9	   SILVER
 1450	 P4	   instr2	   SILVER
 1540	 P3	  instr11	   SILVER
 1590	 P3	  instr13	   SILVER
 1670	 P4	  instr19	   SILVER
 1720	 P4	   instr9	   SILVER
 1760	 P3	  instr16	   SILVER
 1850	 P4	   instr2	   SILVER
 1940	 P3	  instr19	     GOLD
 1990	 P3	   instr8	     GOLD
 2010	 P3	   instr7	     GOLD
 2040	 P3	     exit	     GOLD
 2060	 P4	     exit	     GOLD
 2080	 P5	   instr9	     GOLD
 2110	 P5	   instr2	     GOLD
 2190	 P5	  instr19	     GOLD
 2240	 P5	   instr9	     GOLD
 2270	 P5	   instr2	     GOLD
 2350	 P5	   instr2	     GOLD
 2430	 P5	  instr19	     GOLD
 2480	 P5	   instr9	     GOLD
 2510	 P5	   instr2	     GOLD
 2590	 P5	  instr19	     GOLD
 2640	 P5	     exit	     GOLD
888
1384
